Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Global Memory Load Efficiency(%),Achieved Occupancy,Warp Execution Efficiency(%),Warp Non-Predicated Execution Efficiency(%),Control-Flow Instructions,Bit-Convert Instructions,Misc Instructions,Load/Store Instructions,FP Instructions(Single),Integer Instructions,FP Instructions(Double),Atomic Throughput(bytes/sec),Eligible Warps Per Active Cycle,L2 Throughput (Atomic requests)(bytes/sec),Non-Coherent Global Load Efficiency(%),Non-Coherent Global Memory Load Throughput(bytes/sec),Instructions Executed,Instructions Issued,Control-Flow Function Unit Utilization,Texture Function Unit Utilization,L2 Non-Coherent Read Transactions,Non-Coherent Global Hit Rate(%),Issue Slots,L2 Throughput (Non-Coherent Reads)(bytes/sec),L2 Cache Utilization,Issue Stall Reasons (Other)(%),L1/Shared Memory Utilization,Load/Store Function Unit Utilization,Arithmetic Function Unit Utilization,Device Memory Utilization,System Memory Utilization,Local Memory Cache Replay Overhead,Device Memory Write Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Local Memory Overhead(%),Issued IPC,Requested Non-Coherent Global Load Throughput(bytes/sec),L2 Hit Rate (Texture Reads)(%),L2 Hit Rate (L1 Reads)(%),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (L1 Reads)(bytes/sec),Shared Memory Load Transactions Per Request,Shared Memory Store Transactions Per Request,Global Load Transactions Per Request,Global Store Transactions Per Request,Instructions per warp,Issue Slot Utilization(%),Local Memory Load Transactions Per Request,Local Memory Store Transactions Per Request,Global Load Transactions,Global Store Transactions,System Memory Read Transactions,System Memory Write Transactions,Local Load Transactions,Local Store Transactions,Shared Load Transactions,Shared Store Transactions,Shared Memory Load Throughput(bytes/sec),Local Memory Store Throughput(bytes/sec),Local Memory Load Throughput(bytes/sec),L2 Write Transactions,L2 Read Transactions,Device Memory Write Transactions,Device Memory Read Transactions,Texture Cache Transactions,Executed Control-Flow Instructions,Issued Control-Flow Instructions,System Memory Write Throughput(bytes/sec),System Memory Read Throughput(bytes/sec),L2 Throughput (Writes)(bytes/sec),L2 Throughput (Reads)(bytes/sec),Shared Memory Store Throughput(bytes/sec),Floating Point Operations(Double Precision),L2 Throughput (L1 Writes)(bytes/sec),L2 Transactions (Atomic requests),Floating Point Operations(Double Precision Add),Floating Point Operation(Single Precision Mul),L2 Write Transactions (L1 write requests),L2 Transactions (Texture Reads),Floating Point Operations(Single Precision FMA),Floating Point Operations(Single Precision),L2 Read Transactions (L1 read requests),Floating Point Operations(Single Precision Add),Issued Load/Store Instructions,Executed Load/Store Instructions,Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Synchronization)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Floating Point Operations(Single Precision Special),Issue Stall Reasons (Instructions Fetch)(%),Floating Point Operations(Double Precision Mul),Floating Point Operations(Double Precison FMA),Atomic Transactions Per Request,Atomic Transactions,Atomic Replay Overhead,Inter-Thread Instructions,ECC Transactions,Issue Stall Reasons (Pipe Busy)(%),ECC Throughput(bytes/sec),FLOP Efficiency(Peak Single)(%),Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Memory Throttle)(%),FLOP Efficiency(Peak Double)(%),Issue Stall Reasons (Not Selected)(%),L1 Local Hit Rate(%),Multiprocessor Activity(%),L1 Global Hit Rate(%),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Executed IPC,Instruction Replay Overhead,Shared Memory Replay Overhead,Global Memory Replay Overhead,Global Memory Cache Replay Overhead
"sum_kernel(double*, int)",3334481777,6080,20,1,1,512,1,1,18,0,0,,,0,25,25,0.306,96.873,96.871,10245,10243,51218,21,0,20504,21,0,0.718,0,0,0,2976,4768,Low (1),Idle,0,0,3703,0,Low (1),0.914,Low (1),Low (1),Low (1),Low (1),Low (1),0,15625000,207031250,78125000,3906250,0,0.321,0,0,90,0,78125000,0,0,1,1,9.3,6.224,0,0,20,1,0,9,0,0,0,0,0,0,0,7,248,4,53,0,329,329,35156250,0,27343750,968750000,0,21,3906250,0,20,0,1,0,0,0,20,0,54,21,0,0,11.635,0.56,0,39.732,1,0,0,0,0,0,13,3.718,50781250,0,40.647,0.025,0,2.77,0,15.528,0,19531250,976562,0.202,0.602,0,0,0
"normalize_weights_kernel(double*, int, double*, double*, double*, int*)",3334491089,3182110,20,1,1,512,1,1,30,16,0,,,49.467,49.996,39.95,0.253,38.1,36.038,75247,20003,344818,70083,20003,405090,180019,0,0.092,0,0,0,101954,162901,Low (1),Idle,0,0,131945,0,Low (1),0.032,Low (1),Low (1),Low (1),Low (1),Low (1),0,111541981,12669288,125999638,150725347,0,0.071,0,0,92.425,0,125999638,1,1,1.03,1.059,318.606,1.439,0,0,10666,11252,0,9,0,0,626,640,50315460,0,0,15009,13465,11102,1261,0,12595,12889,90423,0,150795676,135283082,51440726,320025,150725347,0,19999,0,15002,0,0,0,12541,0,44801,22848,0,92.077,2.101,3.582,20002,1.238,20002,140012,0,0,0,0,3539,0.099,35556392,0,0.412,0.247,0.009,0.213,0,7.842,0,50336810,75356394,0.044,0.598,0,0.009,0
"find_index_kernel(double*, double*, double*, double*, double*, double*, double*, int)",3337676559,4094013,20,1,1,512,1,1,13,0,0,,,0,100,791.695,0.29,99.374,81.319,50015240,0,100161440,50055000,0,200160480,50005000,0,0.882,0,0,0,17309107,23604202,Low (1),Idle,0,0,18884391,0,Low (1),3.243,Low (1),Low (2),Low (2),Low (1),Low (1),0,48795692,57380987,12331573835,39024066,0,0.915,0,0,99.684,0,12331573835,0,0,1.001,1.997,54090.959,18.295,0,0,1574371,1250,0,9,0,0,0,0,0,0,0,5006,1581728,6252,7352,0,4718768,4719754,70243,0,39070895,12345091772,0,0,39024066,0,0,0,5000,0,0,0,1579996,0,3149374,1574061,0,9.222,39.069,45.109,0,1.719,0,0,0,0,0,0,2854,0.431,22274937,0,0.018,0.338,0,0.853,0,68.418,0,97628458690,39024066,0.672,0.364,0,0,0
"likelihood_kernel(double*, double*, double*, double*, double*, int*, int*, double*, unsigned char*, double*, double*, int, int, int, int, int, int, int*, double*)",3341773836,761408,20,1,1,512,1,1,42,4096,0,,,17.11,14.965,57.533,0.397,99.843,96.238,3382380,8430000,11515060,5070940,810000,30575183,12910224,0,2.462,0,0,0,2411799,6084668,Low (1),Idle,0,0,5664249,0,Low (2),0.701,Low (1),Mid (5),Low (1),Mid (5),Low (1),0,48654018802,41916744304,47314770898,30067756415,0.137,1.037,0,0,72.968,0,47314770898,1,1,6.401,28.445,7536.872,24.131,0,1.005,845417,695021,0,1,0,629,5780,3520,1958160413,1524519,0,958632,1118527,1148916,989822,0,254985,262700,42347,0,40595917675,47367112729,1192512916,19000214,30173625815,0,2970220,0,712520,0,0,0,1117291,0,2968040,166453,0,4.787,9.914,36.231,790000,1.81,3770000,6129997,0,0,0,0,978413,6.506,41433598712,0,0.125,33.937,2.193,5.989,0,86.697,0,27221669348,4499661217,0.405,1.523,0,0.574,0
"sum_kernel(double*, int)",3342538476,6208,20,1,1,512,1,1,18,0,0,,,0,25,25,0.302,96.873,96.871,10245,10243,51218,21,0,20504,21,0,0.702,0,0,0,2976,4777,Low (1),Idle,0,0,3713,0,Low (1),0.932,Low (1),Low (1),Low (1),Low (1),Low (1),0,15209125,209125475,76045627,3802281,0,0.313,0,0,90,0,76045627,0,0,1,1,9.3,6.09,0,0,20,1,0,1,0,0,0,0,0,0,0,7,236,4,55,0,329,329,3802281,0,26615969,897338403,0,21,3802281,0,20,0,1,0,0,0,20,0,62,21,0,0,11.89,0.57,0,39.977,1,0,0,0,0,0,14,3.889,53231939,0,39.888,0.028,0,2.827,0,15.817,0,19011406,950570,0.199,0.605,0,0,0
"normalize_weights_kernel(double*, int, double*, double*, double*, int*)",3342547916,3182238,20,1,1,512,1,1,30,16,0,,,49.467,49.996,39.95,0.253,38.1,36.038,75247,20003,344818,70083,20003,405090,180019,0,0.092,0,0,0,101954,162889,Low (1),Idle,0,0,131936,0,Low (1),0.035,Low (1),Low (1),Low (1),Low (1),Low (1),0,111408066,19062063,126018630,150748066,0,0.071,0,0,92.425,0,126018630,1,1,1.03,1.059,318.606,1.439,0,0,10666,11252,0,1,0,0,626,640,50323044,0,0,15009,15749,11087,1897,0,12595,12937,10048,0,150818405,158254318,51448480,320025,150748066,0,19999,0,15002,0,0,0,12541,0,44817,22848,0,91.984,2.097,3.582,20002,1.309,20002,140012,0,0,0,0,4216,0.099,42364607,0,0.434,0.247,0.009,0.212,0,7.841,0,50344397,75367752,0.044,0.598,0,0.009,0
"find_index_kernel(double*, double*, double*, double*, double*, double*, double*, int)",3345733386,4105214,20,1,1,512,1,1,13,0,0,,,0,100,791.695,0.29,99.374,81.319,50015240,0,100161440,50055000,0,200160480,50005000,0,0.883,0,0,0,17309107,23604263,Low (1),Idle,0,0,18884432,0,Low (1),3.242,Low (1),Low (2),Low (2),Low (1),Low (1),0,48626426,49481978,12288797187,38888697,0,0.915,0,0,99.684,0,12288797187,0,0,1.001,1.997,54090.959,18.306,0,0,1574371,1250,0,1,0,0,0,0,0,0,0,5006,1583844,6252,6362,0,4718768,4719757,7777,0,38935363,12318725928,0,0,38888697,0,0,0,5000,0,0,0,1579996,0,3149374,1574061,0,9.255,39.051,45.082,0,1.717,0,0,0,0,0,0,1756,0.43,13657710,0,0.018,0.351,0,0.855,0,68.431,0,97289798085,38888697,0.672,0.364,0,0,0
"likelihood_kernel(double*, double*, double*, double*, double*, int*, int*, double*, unsigned char*, double*, double*, int, int, int, int, int, int, int*, double*)",3349841864,771583,20,1,1,512,1,1,42,4096,0,,,17.11,14.965,57.533,0.398,99.843,96.238,3382380,8430000,11515060,5070940,810000,30575199,12910220,0,2.471,0,0,0,2411799,6127680,Low (1),Idle,0,0,5707331,0,Low (2),0.707,Low (1),Mid (6),Low (1),Mid (5),Low (1),0,48200546448,41681126523,46964733081,29845313156,0.137,1.04,0,0,72.849,0,46964733081,1,1,6.401,28.445,7536.872,24.207,0,1.006,845417,695021,0,5,0,632,5780,3520,1943673812,168137,0,960579,1119851,1146691,991594,0,254985,262927,210172,0,40377427490,47072341319,1183690626,19000204,29950399327,0,2970220,0,712520,0,0,0,1117291,0,2881188,166453,0,4.733,10.108,35.443,790000,1.847,3770000,6129992,0,0,0,0,975233,6.387,40993400588,0,0.182,34.441,2.184,6.153,0,86.726,0,27020281630,4466372425,0.411,1.541,0,0.574,0
"sum_kernel(double*, int)",3350616807,6112,20,1,1,512,1,1,18,0,0,,,0,25,25,0.308,96.873,96.871,10245,10243,51218,21,0,20504,21,0,0.703,0,0,0,2976,4766,Low (1),Idle,0,0,3703,0,Low (1),0.923,Low (1),Low (1),Low (1),Low (1),Low (1),0,15094339,207547169,75471698,3773584,0,0.318,0,0,90,0,75471698,0,0,1,1,9.3,6.175,0,0,20,1,0,5,0,0,0,0,0,0,0,7,260,4,55,0,329,329,18867924,0,26415094,981132075,0,21,3773584,0,20,0,1,0,0,0,20,0,54,21,0,0,11.801,0.566,0,39.584,1,0,0,0,0,0,15,3.781,56603773,0,40.57,0.027,0,2.747,0,15.639,0,18867924,943396,0.199,0.601,0,0,0
"normalize_weights_kernel(double*, int, double*, double*, double*, int*)",3350626183,3182238,20,1,1,512,1,1,30,16,0,,,49.467,49.996,39.95,0.253,38.1,36.038,75247,20003,344818,70083,20003,405090,180019,0,0.092,0,0,0,101954,162991,Low (1),Idle,0,0,131989,0,Low (1),0.032,Low (1),Low (1),Low (1),Low (1),Low (1),0,111470565,12700450,126009767,150737463,0,0.071,0,0,92.457,0,126009767,1,1,1.03,1.059,318.606,1.439,0,0,10666,11252,0,5,0,0,626,640,50319505,0,0,15008,13777,11094,1264,0,12595,12932,50239,0,150797750,138428878,51444861,320025,150737463,0,19999,0,15002,0,0,0,12541,0,44812,22848,0,92.089,2.1,3.578,20002,1.229,20002,140012,0,0,0,0,3126,0.097,31409499,0,0.414,0.247,0.009,0.214,0,7.845,0,50340856,75362451,0.045,0.599,0,0.009,0
"find_index_kernel(double*, double*, double*, double*, double*, double*, double*, int)",3353811781,4105214,20,1,1,512,1,1,13,0,0,,,0,100,791.695,0.29,99.374,81.319,50015240,0,100161440,50055000,0,200160480,50005000,0,0.882,0,0,0,17309107,23604209,Low (1),Idle,0,0,18884395,0,Low (1),3.243,Low (1),Low (2),Low (2),Low (1),Low (1),0,48620754,57175269,12287363668,38884160,0,0.915,0,0,99.684,0,12287363668,0,0,1.001,1.997,54090.959,18.291,0,0,1574371,1250,0,5,0,0,0,0,0,0,0,5006,1582132,6252,7352,0,4718768,4719758,38884,0,38930821,12303974981,0,0,38884160,0,0,0,5000,0,0,0,1579996,0,3149374,1574061,0,9.174,39.081,45.131,0,1.719,0,0,0,0,0,0,3198,0.432,24870309,0,0.018,0.346,0,0.856,0,68.439,0,97278448988,38884160,0.672,0.364,0,0,0
"likelihood_kernel(double*, double*, double*, double*, double*, int*, int*, double*, unsigned char*, double*, double*, int, int, int, int, int, int, int*, double*)",3357920291,767647,20,1,1,512,1,1,42,4096,0,,,17.11,14.965,57.533,0.397,99.843,96.238,3382380,8430000,11515060,5070940,810000,30575106,12910232,0,2.418,0,0,0,2411799,6104271,Low (1),Idle,0,0,5683831,0,Low (2),0.695,Low (1),Mid (5),Low (1),Mid (5),Low (1),0,48647327083,42260450975,47178912254,29981420488,0.137,1.033,0,0,73.024,0,47178912254,1,1,6.401,28.445,7536.872,24.046,0,1.003,845417,695021,0,5,0,633,5780,3520,1952537792,1351237,0,957609,1118887,1152066,1000812,0,254985,263009,211130,0,40436154041,47246305210,1189088759,19000214,30086985896,0,2970220,0,712520,0,0,0,1117291,0,2928655,166453,0,5.93,9.974,35.896,790000,1.816,3770000,6129997,0,0,0,0,983610,6.846,41534076513,0,0.174,32.769,2.18,5.901,0,86.799,0,27143505616,4486740984,0.403,1.531,0,0.574,0
"sum_kernel(double*, int)",3358691202,5856,20,1,1,512,1,1,18,0,0,,,0,25,25,0.303,96.873,96.871,10245,10243,51218,21,0,20504,21,0,0.68,0,0,0,2976,4735,Low (1),Idle,0,0,3681,0,Low (1),0.923,Low (1),Low (1),Low (1),Low (1),Low (1),0,15325670,210727969,76628352,3831417,0,0.309,0,0,80,0,76628352,0,0,1,1,9.3,6.012,0,0,20,1,0,5,0,0,0,0,0,0,0,7,236,4,55,0,329,329,19157088,0,26819923,904214559,0,21,3831417,0,20,0,1,0,0,0,20,0,54,21,0,0,11.821,0.591,0,39.371,1,0,0,0,0,0,15,3.793,57471264,0,40.766,0.027,0,2.709,0,15.504,0,19157088,957854,0.199,0.591,0,0,0
"normalize_weights_kernel(double*, int, double*, double*, double*, int*)",3358700290,3181918,20,1,1,512,1,1,30,16,0,,,49.467,49.996,39.95,0.253,38.1,36.038,75247,20003,344818,70083,20003,405090,180019,0,0.091,0,0,0,101954,162947,Low (1),Idle,0,0,131967,0,Low (1),0.034,Low (1),Low (1),Low (1),Low (1),Low (1),0,111612356,21964765,126011033,150738977,0,0.071,0,0,92.552,0,126011033,1,1,1.03,1.059,318.606,1.44,0,0,10666,11252,0,5,0,0,626,640,50320010,0,0,15008,13945,11108,2186,0,12595,12885,50239,0,150799265,140118320,51445378,320025,150738977,0,19999,0,15002,0,0,0,12541,0,44799,22848,0,92.099,2.1,3.591,20002,1.217,20002,140012,0,0,0,0,4402,0.1,44230967,0,0.401,0.247,0.009,0.211,0,7.838,0,50341362,75363208,0.045,0.598,0,0.009,0
"find_index_kernel(double*, double*, double*, double*, double*, double*, double*, int)",3361885440,4106238,20,1,1,512,1,1,13,0,0,,,0,100,791.695,0.29,99.374,81.319,50015240,0,100161440,50055000,0,200160480,50005000,0,0.882,0,0,0,17309107,23604223,Low (1),Idle,0,0,18884410,0,Low (1),3.24,Low (1),Low (2),Low (2),Low (1),Low (1),0,48637397,48948577,12291569605,38897470,0,0.915,0,0,99.684,0,12291569605,0,0,1.001,1.997,54090.959,18.302,0,0,1574371,1250,0,5,0,0,0,0,0,0,0,5006,1582060,6252,6292,0,4718768,4719768,38897,0,38944147,12307626481,0,0,38897470,0,0,0,5000,0,0,0,1579996,0,3149374,1574061,0,9.251,39.049,45.098,0,1.717,0,0,0,0,0,0,1774,0.435,13800822,0,0.018,0.34,0,0.852,0,68.412,0,97311747181,38897470,0.671,0.364,0,0,0
"likelihood_kernel(double*, double*, double*, double*, double*, int*, int*, double*, unsigned char*, double*, double*, int, int, int, int, int, int, int*, double*)",3365994942,771231,20,1,1,512,1,1,42,4096,0,,,17.11,14.965,57.533,0.397,99.843,96.238,3382380,8430000,11515060,5070940,810000,30575155,12910217,0,2.425,0,0,0,2411799,6113307,Low (1),Idle,0,0,5692655,0,Low (2),0.706,Low (1),Mid (5),Low (1),Mid (5),Low (1),0,48005646173,41570974487,46729025512,29695524884,0.137,1.024,0,0,73.053,0,46729025512,1,1,6.401,28.445,7536.872,23.84,0,1.016,845417,695021,0,9,0,643,5780,3520,1933918862,836470,0,961726,1119111,1147815,993962,0,254985,262958,376411,0,40222751986,46805144291,1177749895,19000218,29800083647,0,2970220,0,712520,0,0,0,1117291,0,2936768,166453,0,5.46,10.084,35.231,790000,1.837,3770000,6129999,0,0,0,0,976349,5.999,40834337097,0,0.161,34.43,2.156,6.092,0,86.687,0,26884671685,4443956503,0.406,1.535,0,0.574,0
"sum_kernel(double*, int)",3366769501,6080,20,1,1,512,1,1,18,0,0,,,0,25,25,0.302,96.873,96.871,10245,10243,51218,21,0,20504,21,0,0.697,0,0,0,2976,4776,Low (1),Idle,0,0,3711,0,Low (1),0.907,Low (1),Low (1),Low (1),Low (1),Low (1),0,15037593,206766917,75187969,3759398,0,0.317,0,0,90,0,75187969,0,0,1,1,9.3,6.149,0,0,20,1,0,9,0,0,0,0,0,0,0,7,236,4,55,0,329,329,33834586,0,26315789,887218045,0,21,3759398,0,20,0,1,0,0,0,20,0,54,21,0,0,11.465,0.528,0,41.744,1,0,0,0,0,0,15,3.254,56390977,0,39.402,0.024,0,2.676,0,15.712,0,18796992,939849,0.199,0.605,0,0,0
"normalize_weights_kernel(double*, int, double*, double*, double*, int*)",3366778813,3182079,20,1,1,512,1,1,30,16,0,,,49.467,49.996,39.95,0.253,38.1,36.038,75247,20003,344818,70083,20003,405090,180019,0,0.091,0,0,0,101954,163007,Low (1),Idle,0,0,131996,0,Low (1),0.032,Low (1),Low (1),Low (1),Low (1),Low (1),0,111535296,15191547,126003436,150729890,0,0.071,0,0,92.584,0,126003436,1,1,1.03,1.059,318.606,1.44,0,0,10666,11252,0,9,0,0,626,640,50316977,0,0,15009,13161,11101,1512,0,12595,12909,90425,0,150800221,132232775,51442277,320025,150729890,0,19999,0,15002,0,0,0,12541,0,44807,22848,0,92.086,2.1,3.577,20002,1.236,20002,140012,0,0,0,0,3661,0.102,36783237,0,0.409,0.247,0.009,0.212,0,7.839,0,50338327,75358665,0.044,0.599,0,0.009,0
"find_index_kernel(double*, double*, double*, double*, double*, double*, double*, int)",3369964284,4107901,20,1,1,512,1,1,13,0,0,,,0,100,791.695,0.29,99.374,81.319,50015240,0,100161440,50055000,0,200160480,50005000,0,0.881,0,0,0,17309107,23604265,Low (1),Idle,0,0,18884426,0,Low (1),3.241,Low (1),Low (2),Low (2),Low (1),Low (1),0,48620376,58069153,12287268112,38883858,0,0.916,0,0,99.684,0,12287268112,0,0,1.001,1.997,54090.959,18.32,0,0,1574371,1250,0,9,0,0,0,0,0,0,0,5006,1580740,6252,7467,0,4718768,4719752,69990,0,38930518,12293054030,0,0,38883858,0,0,0,5000,0,0,0,1579996,0,3149374,1574061,0,9.161,39.086,45.152,0,1.719,0,0,0,0,0,0,2857,0.433,22218236,0,0.018,0.349,0,0.841,0,68.822,0,97277692476,38883858,0.672,0.364,0,0,0
"likelihood_kernel(double*, double*, double*, double*, double*, int*, int*, double*, unsigned char*, double*, double*, int, int, int, int, int, int, int*, double*)",3374075449,749376,20,1,1,512,1,1,42,4096,0,,,17.11,14.965,57.533,0.398,99.843,96.238,3382380,8430000,11515060,5070940,810000,30575204,12910215,0,2.408,0,0,0,2411799,6095900,Low (1),Idle,0,0,5675378,0,Low (2),0.703,Low (1),Mid (5),Low (1),Mid (5),Low (1),0,49045089879,42311553477,47933888197,30461195246,0.137,1.029,0,0,72.871,0,47933888197,1,1,6.401,28.445,7536.872,23.943,0,1.006,845417,695021,0,1,0,628,5780,3520,1983783088,858037,0,960994,1118371,1143192,986240,0,254985,263022,42901,0,41228452529,47980222231,1208117036,19000224,30568449954,0,2970220,0,712520,0,0,0,1117291,0,2958859,166453,0,5.662,9.964,36.079,790000,1.818,3770000,6130002,0,0,0,0,975235,6.355,41839418250,0,0.137,33.394,2.161,5.888,0,86.28,0,27577866918,4558539619,0.414,1.528,0,0.574,0
"sum_kernel(double*, int)",3374828057,6336,20,1,1,512,1,1,18,0,0,,,0,25,25,0.3,96.873,96.871,10245,10243,51218,21,0,20504,21,0,0.703,0,0,0,2976,4760,Low (1),Idle,0,0,3700,0,Low (1),0.909,Low (1),Low (1),Low (1),Low (1),Low (1),0,15037593,206766917,75187969,3759398,0,0.322,0,0,90,0,75187969,0,0,1,1,9.3,6.248,0,0,20,1,0,1,0,0,0,0,0,0,0,7,236,4,55,0,329,329,3759398,0,26315789,887218045,0,21,3759398,0,20,0,1,0,0,0,20,0,54,21,0,0,11.573,0.645,0,39.613,1,0,0,0,0,0,15,3.806,56390977,0,40.78,0.024,0,2.648,0,8.335,0,18796992,939849,0.202,0.599,0,0,0
"normalize_weights_kernel(double*, int, double*, double*, double*, int*)",3374837657,3182750,20,1,1,512,1,1,30,16,0,,,49.467,49.996,39.95,0.253,38.1,36.038,75247,20003,344818,70083,20003,405090,180019,0,0.091,0,0,0,101954,162984,Low (1),Idle,0,0,131985,0,Low (1),0.034,Low (1),Low (1),Low (1),Low (1),Low (1),0,111501828,21643231,126011033,150738977,0,0.071,0,0,92.457,0,126011033,1,1,1.03,1.059,318.606,1.44,0,0,10666,11252,0,1,0,0,626,640,50320010,0,0,15009,12977,11097,2154,0,12595,12918,10047,0,150809313,130391928,51445378,320025,150738977,0,19999,0,15002,0,0,0,12541,0,44814,22848,0,92.073,2.099,3.588,20002,1.24,20002,140012,0,0,0,0,3975,0.099,39940503,0,0.41,0.247,0.009,0.211,0,7.839,0,50341362,75363208,0.045,0.599,0,0.009,0
"find_index_kernel(double*, double*, double*, double*, double*, double*, double*, int)",3378023703,4103261,20,1,1,512,1,1,13,0,0,,,0,100,791.695,0.29,99.374,81.319,50015240,0,100161440,50055000,0,200160480,50005000,0,0.882,0,0,0,17309107,23604246,Low (1),Idle,0,0,18884424,0,Low (1),3.28,Low (1),Low (2),Low (2),Low (1),Low (1),0,48573925,49195472,12275529025,38846709,0,0.915,0,0,99.684,0,12275529025,0,0,1.001,1.997,54090.959,18.311,0,0,1574371,1250,0,1,0,0,0,0,0,0,0,5006,1580404,6252,6332,0,4718768,4719757,7769,0,38893325,12278698916,0,0,38846709,0,0,0,5000,0,0,0,1579996,0,3149374,1574061,0,9.259,39.036,45.082,0,1.717,0,0,0,0,0,0,2170,0.421,16859471,0,0.018,0.341,0,0.847,0,68.345,0,97184754706,38846709,0.672,0.364,0,0,0
"likelihood_kernel(double*, double*, double*, double*, double*, int*, int*, double*, unsigned char*, double*, double*, int, int, int, int, int, int, int*, double*)",3382130228,761856,20,1,1,512,1,1,42,4096,0,,,17.11,14.965,57.533,0.397,99.843,96.238,3382380,8430000,11515060,5070940,810000,30575125,12910236,0,2.535,0,0,0,2411799,6130647,Low (1),Idle,0,0,5710409,0,Low (2),0.712,Low (1),Mid (5),Low (1),Mid (5),Low (1),0,47684058577,40948661087,46748577405,29707949790,0.137,1.047,0,0,72.628,0,46748577405,1,1,6.401,28.445,7536.872,24.377,0,1.016,845417,695021,0,5,0,629,5780,3520,1934728033,2175732,0,959351,1118371,1139649,978673,0,254985,262930,209205,0,40140209205,46793765690,1178242677,19000222,29812552301,0,2970220,0,712520,0,0,0,1117291,0,2867840,166453,0,5.32,10.227,34.811,790000,1.869,3770000,6130001,0,0,0,0,962288,6.398,40263096234,0,0.143,34.095,2.196,6.425,0,86.617,0,26895920502,4445815899,0.407,1.542,0,0.574,0
"sum_kernel(double*, int)",3382895316,6240,20,1,1,512,1,1,18,0,0,,,0,25,25,0.304,96.873,96.871,10245,10243,51218,21,0,20504,21,0,0.701,0,0,0,2976,4758,Low (1),Idle,0,0,3694,0,Low (1),0.926,Low (1),Low (1),Low (1),Low (1),Low (1),0,15267175,209923664,76335877,3816793,0,0.32,0,0,90,0,76335877,0,0,1,1,9.3,6.21,0,0,20,1,0,5,0,0,0,0,0,0,0,7,248,4,55,0,329,329,19083969,0,26717557,946564885,0,21,3816793,0,20,0,1,0,0,0,20,0,54,21,0,0,11.768,0.565,0,39.542,1,0,0,0,0,0,15,3.943,57251908,0,40.534,0.027,0,2.696,0,15.43,0,19083969,954198,0.201,0.599,0,0,0
"normalize_weights_kernel(double*, int, double*, double*, double*, int*)",3382904788,3181854,20,1,1,512,1,1,30,16,0,,,49.467,49.996,39.95,0.253,38.1,36.038,75247,20003,344818,70083,20003,405090,180019,0,0.091,0,0,0,101954,162998,Low (1),Idle,0,0,131992,0,Low (1),0.032,Low (1),Low (1),Low (1),Low (1),Low (1),0,111631330,16106662,126009767,150737463,0,0.071,0,0,92.489,0,126009767,1,1,1.03,1.059,318.606,1.44,0,0,10666,11252,0,5,0,0,626,640,50319505,0,0,15009,14073,11110,1603,0,12595,12846,50239,0,150807797,141403034,51444861,320025,150737463,0,19999,0,15002,0,0,0,12541,0,44805,22848,0,92.004,2.098,3.585,20002,1.316,20002,140012,0,0,0,0,3781,0.096,37990824,0,0.41,0.247,0.009,0.212,0,7.839,0,50340856,75362451,0.044,0.599,0,0.009,0
"find_index_kernel(double*, double*, double*, double*, double*, double*, double*, int)",3386089938,4107005,20,1,1,512,1,1,13,0,0,,,0,100,791.695,0.29,99.374,81.319,50015240,0,100161440,50055000,0,200160480,50005000,0,0.882,0,0,0,17309107,23604201,Low (1),Idle,0,0,18884383,0,Low (1),3.254,Low (1),Low (2),Low (2),Low (1),Low (1),0,48658607,56091264,12296929772,38914433,0,0.916,0,0,99.684,0,12296929772,0,0,1.001,1.997,54090.959,18.317,0,0,1574371,1250,0,5,0,0,0,0,0,0,0,5006,1584568,6252,7207,0,4718768,4719755,38914,0,38961130,12332513130,0,0,38914433,0,0,0,5000,0,0,0,1579996,0,3149374,1574061,0,9.228,39.054,45.113,0,1.718,0,0,0,0,0,0,2893,0.431,22515891,0,0.018,0.337,0,0.848,0,68.351,0,97354183362,38914433,0.672,0.364,0,0,0
